gene_id,proposed,cluster,cluster_training_support,cluster_training_probability,evidence_status,nested_cv_precision,nested_cv_recall,nested_cv_f1
TGME49_255180,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_286932,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_231815,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_228120,C,26,23,0.696969696969697,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_247390,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_264860,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_254940,C,26,23,0.696969696969697,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_206450,C,26,23,0.696969696969697,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_271370,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_210345,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_314920,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_285830,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_289050,C,32,14,0.7,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
TGME49_260150,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_319370,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_220132,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_264485,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_215910,M,11,50,0.704225352112676,inferred_from_held_out_structure,0.6200464396284829,0.2310823311748381,0.33623501498501496
TGME49_244720,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_231370,S,33,5,0.625,inferred_from_held_out_structure,0.25757575757575757,0.046453900709219856,0.07687135042104616
TGME49_258540,C,26,23,0.696969696969697,inferred_from_held_out_structure,0.5895370370370371,0.24245283018867925,0.33446014169403215
