label,support,prevalence,average_precision,precision,recall,task,method,features
19S proteasome,17,0.0044421217663966,0.7034947127341519,0.7142857142857143,0.2941176470588235,compartment,boosted,published
20S proteasome,14,0.0036582179252678,0.7850755274886724,1.0,0.4285714285714285,compartment,boosted,published
40S ribosome,28,0.0073164358505356,0.4813749504354884,0.4583333333333333,0.3928571428571428,compartment,boosted,published
60S ribosome,40,0.0104520512150509,0.6100218024264907,0.6444444444444445,0.725,compartment,boosted,published
ER,248,0.0648027175333159,0.5207123224557709,0.5066225165562914,0.6169354838709677,compartment,boosted,published
ER 2,17,0.0044421217663966,0.1560194430417162,0.0,0.0,compartment,boosted,published
Golgi,153,0.0399790958975699,0.28785350451937,0.3018867924528302,0.2091503267973856,compartment,boosted,published
IMC,96,0.0250849229161222,0.4364391365779215,0.4864864864864865,0.375,compartment,boosted,published
PM - integral,135,0.0352756728507969,0.3269926310801865,0.392156862745098,0.2962962962962963,compartment,boosted,published
PM - peripheral 1,49,0.0128037627384374,0.8142344175825443,0.875,0.7142857142857143,compartment,boosted,published
PM - peripheral 2,44,0.011497256336556,0.0286631751355112,0.0,0.0,compartment,boosted,published
apical 1,59,0.0154167755422001,0.3829183818985398,0.4444444444444444,0.2033898305084746,compartment,boosted,published
apical 2,17,0.0044421217663966,0.0651518695899468,0.0,0.0,compartment,boosted,published
apicoplast,167,0.0436373138228377,0.4680333690762593,0.5841584158415841,0.3532934131736527,compartment,boosted,published
cytosol,599,0.156519466945388,0.595766323448276,0.5077120822622108,0.659432387312187,compartment,boosted,published
dense granules,193,0.0504311471126208,0.694145925165472,0.7011494252873564,0.6321243523316062,compartment,boosted,published
endomembrane vesicles,34,0.0088842435327933,0.1326624837936668,1.0,0.0294117647058823,compartment,boosted,published
micronemes,56,0.0146328717010713,0.6000143279981799,0.7352941176470589,0.4464285714285714,compartment,boosted,published
mitochondrion - membranes,193,0.0504311471126208,0.5710387997249242,0.6875,0.3989637305699481,compartment,boosted,published
mitochondrion - soluble,274,0.071596550823099,0.5240819614149248,0.4937759336099585,0.4343065693430657,compartment,boosted,published
nucleolus,32,0.0083616409720407,0.1571419258519441,0.2,0.03125,compartment,boosted,published
nucleus - chromatin,769,0.2009406846093545,0.6266212092973443,0.5,0.7269180754226268,compartment,boosted,published
nucleus - non-chromatin,461,0.1204598902534622,0.4774003706829068,0.4801864801864802,0.4468546637744034,compartment,boosted,published
rhoptries 1,71,0.0185523909067154,0.6682344545497579,0.660377358490566,0.4929577464788732,compartment,boosted,published
rhoptries 2,52,0.0135876665795662,0.4505707260008174,0.5384615384615384,0.4038461538461538,compartment,boosted,published
tubulin cytoskeleton,9,0.0023517115233864,0.1133510059602963,0.0,0.0,compartment,boosted,published
19S proteasome,17,0.0044421217663966,0.7169976672358631,0.7777777777777778,0.4117647058823529,compartment,boosted,published_af3
20S proteasome,14,0.0036582179252678,0.7737125322463667,1.0,0.4285714285714285,compartment,boosted,published_af3
40S ribosome,28,0.0073164358505356,0.4788470916712964,0.4782608695652174,0.3928571428571428,compartment,boosted,published_af3
60S ribosome,40,0.0104520512150509,0.6188383163863086,0.6,0.675,compartment,boosted,published_af3
ER,248,0.0648027175333159,0.5035554132488059,0.4933333333333333,0.5967741935483871,compartment,boosted,published_af3
ER 2,17,0.0044421217663966,0.1886617179052459,1.0,0.0588235294117647,compartment,boosted,published_af3
Golgi,153,0.0399790958975699,0.2722160169539363,0.2767857142857143,0.2026143790849673,compartment,boosted,published_af3
IMC,96,0.0250849229161222,0.4507826294955389,0.52,0.40625,compartment,boosted,published_af3
PM - integral,135,0.0352756728507969,0.3320776308848144,0.392156862745098,0.2962962962962963,compartment,boosted,published_af3
PM - peripheral 1,49,0.0128037627384374,0.8055244122493453,0.8809523809523809,0.7551020408163265,compartment,boosted,published_af3
PM - peripheral 2,44,0.011497256336556,0.027665203683673,0.0,0.0,compartment,boosted,published_af3
apical 1,59,0.0154167755422001,0.3692846813386963,0.4285714285714285,0.2542372881355932,compartment,boosted,published_af3
apical 2,17,0.0044421217663966,0.0674579461590277,0.0,0.0,compartment,boosted,published_af3
apicoplast,167,0.0436373138228377,0.4853151513208999,0.6421052631578947,0.3652694610778443,compartment,boosted,published_af3
cytosol,599,0.156519466945388,0.5963880347187644,0.5064102564102564,0.659432387312187,compartment,boosted,published_af3
dense granules,193,0.0504311471126208,0.6925536618278443,0.7058823529411765,0.6217616580310881,compartment,boosted,published_af3
endomembrane vesicles,34,0.0088842435327933,0.1327234806248154,1.0,0.0294117647058823,compartment,boosted,published_af3
micronemes,56,0.0146328717010713,0.6069699993909473,0.6944444444444444,0.4464285714285714,compartment,boosted,published_af3
mitochondrion - membranes,193,0.0504311471126208,0.5682453982973578,0.6964285714285714,0.4041450777202072,compartment,boosted,published_af3
mitochondrion - soluble,274,0.071596550823099,0.5267195869923157,0.5,0.4270072992700729,compartment,boosted,published_af3
nucleolus,32,0.0083616409720407,0.172391845424378,0.0,0.0,compartment,boosted,published_af3
nucleus - chromatin,769,0.2009406846093545,0.6428469711281221,0.5031503150315032,0.7269180754226268,compartment,boosted,published_af3
nucleus - non-chromatin,461,0.1204598902534622,0.4850860707590192,0.4851936218678815,0.4620390455531453,compartment,boosted,published_af3
rhoptries 1,71,0.0185523909067154,0.674936044471517,0.7307692307692307,0.5352112676056338,compartment,boosted,published_af3
rhoptries 2,52,0.0135876665795662,0.4518408105507621,0.525,0.4038461538461538,compartment,boosted,published_af3
tubulin cytoskeleton,9,0.0023517115233864,0.1219708360984244,0.0,0.0,compartment,boosted,published_af3
19S proteasome,17,0.0044421217663966,0.5987995634981932,0.7777777777777778,0.4117647058823529,compartment,boosted,published_af3_esm
20S proteasome,14,0.0036582179252678,0.7348661141207661,1.0,0.2857142857142857,compartment,boosted,published_af3_esm
40S ribosome,28,0.0073164358505356,0.4957608185525522,0.5185185185185185,0.5,compartment,boosted,published_af3_esm
60S ribosome,40,0.0104520512150509,0.7712812887112688,0.7878787878787878,0.65,compartment,boosted,published_af3_esm
ER,248,0.0648027175333159,0.5767720961128184,0.5503355704697986,0.6612903225806451,compartment,boosted,published_af3_esm
ER 2,17,0.0044421217663966,0.0847116808357941,0.0,0.0,compartment,boosted,published_af3_esm
Golgi,153,0.0399790958975699,0.2965617775372356,0.3303571428571428,0.2418300653594771,compartment,boosted,published_af3_esm
IMC,96,0.0250849229161222,0.5100366114216338,0.6164383561643836,0.46875,compartment,boosted,published_af3_esm
PM - integral,135,0.0352756728507969,0.4241744591958892,0.4545454545454545,0.3333333333333333,compartment,boosted,published_af3_esm
PM - peripheral 1,49,0.0128037627384374,0.8580973968149099,0.9069767441860463,0.7959183673469388,compartment,boosted,published_af3_esm
PM - peripheral 2,44,0.011497256336556,0.0547137672765927,0.0,0.0,compartment,boosted,published_af3_esm
apical 1,59,0.0154167755422001,0.4692476038347719,0.5625,0.3050847457627119,compartment,boosted,published_af3_esm
apical 2,17,0.0044421217663966,0.2328838761556261,0.5,0.1764705882352941,compartment,boosted,published_af3_esm
